OID_,row,col,cell_id,Shape_Length,Shape_Area,cell_area,district,overlap_m2,overlap_pct,district_id
1,49,0,4410,3965.765119508856515,981470.197718917625025,0.000086000006175,Nanshan District,0.000055820482291,64.907532886616281,7
2,49,1,4411,3965.793795779245102,981484.390232437872328,0.000086000006810,Nanshan District,0.000086000009300,100.000002895717415,7
3,49,2,4412,3965.822391589255858,981498.544909557327628,0.000085999999603,Nanshan District,0.000085999995700,99.999995461447156,7
4,49,3,4413,3965.851306884534097,981512.852311159833334,0.000086000001253,Nanshan District,0.000086000004300,100.000003542709990,7
5,49,4,4414,3965.880138024336702,981527.127685229177587,0.000085999995571,Nanshan District,0.000085999995700,100.000000149788178,7
6,49,5,4415,3965.909386779841043,981541.602467722375877,0.000086000002835,Nanshan District,0.000086000004300,100.000001703759196,7
7,49,6,4416,3965.938453251249484,981555.990834457799792,0.000085999998001,Nanshan District,0.000086000004300,100.000007324415208,7
8,49,7,4417,3965.967737366971505,981570.487115859519690,0.000085999998096,Nanshan District,0.000085999995700,99.999997214387378,7
9,49,8,4418,3965.997137255062626,981585.039065079763532,0.000085999998541,Nanshan District,0.000086000004300,100.000006696214314,7
10,49,9,4419,3966.026660476328288,981599.654072742210701,0.000085999999985,Nanshan District,0.000085999995700,99.999995017343963,7
11,49,10,4420,3966.056295679320556,981614.326724814018235,0.000086000001952,Nanshan District,0.000086000005000,100.000003544072882,7
12,49,11,4421,3966.086152324992781,981629.105332201230340,0.000086000008675,Nanshan District,0.000086000005000,99.999995726951013,7
13,49,12,4422,3966.115826710970396,981643.793748285854235,0.000086000002969,Nanshan District,0.000086000000000,99.999996548136394,7
14,49,13,4423,3966.145620676169528,981658.543441297253594,0.000085999998104,Nanshan District,0.000085878281121,99.858468622168374,7
15,49,14,4424,3966.175828419033223,981673.494512370321900,0.000086000006353,Nanshan District,0.000054658155466,63.555990032689344,7
16,49,15,4425,3966.205857741800173,981688.361010452965274,0.000086000002666,Nanshan District,0.000006579746636,7.650867944528823,7
17,49,16,4426,3966.236198882926146,981703.380382383824326,0.000086000007842,,,,
18,49,17,4427,3966.266463551706238,981718.363834008225240,0.000086000005344,,,,
19,49,18,4428,3966.296647898407173,981733.305599161423743,0.000085999994666,,,,
20,49,19,4429,3966.327445915741009,981748.547938098665327,0.000086000005790,,,,
21,49,20,4430,3966.357963645202290,981763.661015181685798,0.000086000001062,,,,
22,49,21,4431,3966.388797039004203,981778.921103618107736,0.000086000004683,,,,
23,49,22,4432,3966.419452121270751,981794.096668241545558,0.000085999996371,,,,
24,49,23,4433,3966.450320892135096,981809.378286312334239,0.000085999992819,,,,
25,49,24,4434,3966.481607272323345,981824.867061481112614,0.000086000002884,,,,
26,49,25,4435,3966.512813353361707,981840.318099661264569,0.000086000005113,,,,
27,49,26,4436,3966.544037129730896,981855.778019575751387,0.000086000003591,,,,
28,49,27,4437,3966.575478562661374,981871.342112822225317,0.000086000006662,,,,
29,49,28,4438,3966.606839731010041,981886.864552668877877,0.000086000001556,,,,
30,49,29,4439,3966.638218612420133,981902.399815260199830,0.000085999993042,,,,
31,49,30,4440,3966.670015108756616,981918.142258700798266,0.000085999998144,,,,
32,49,31,4441,3966.701829307294247,981933.893435484264046,0.000085999999480,,,,
33,49,32,4442,3966.733657115415554,981949.651548273744993,0.000085999996892,,,,
34,49,33,4443,3966.765702557977875,981965.517768276738934,0.000085999999241,,,,
35,49,34,4444,3966.797871849572857,981981.443545317975804,0.000086000002275,,,,
36,49,35,4445,3966.830062994706623,981997.384130545775406,0.000086000002074,,,,
37,49,36,4446,3966.862463520948040,982013.424804173177108,0.000086000006107,,,,
38,49,37,4447,3966.894681787682202,982029.375134618720040,0.000085999997696,,,,
39,49,38,4448,3966.927219769616386,982045.482310194405727,0.000085999998488,,,,
40,49,39,4449,3966.959779638185864,982061.608089679852128,0.000085999996378,,,,
41,49,40,4450,3966.992650858333036,982077.882636385271326,0.000086000002762,,,,
42,49,41,4451,3967.025446119590924,982094.121523123933002,0.000086000001492,,,,
43,49,42,4452,3967.058454818094560,982110.462600929080509,0.000086000004636,,,,
44,49,43,4453,3967.091285516037260,982126.719302905141376,0.000085999995859,,,,
45,49,44,4454,3967.124533841374614,982143.179452624055557,0.000086000000364,,,,
46,49,45,4455,3967.157795611087295,982159.650250671198592,0.000086000001268,,,,
47,49,46,4456,3967.191079371574233,982176.131993452436291,0.000085999998596,,,,
48,49,47,4457,3967.224580798637817,982192.717950665741228,0.000086000000515,,,,
49,49,48,4458,3967.258095635805148,982209.314538018661551,0.000085999998832,,,,
50,49,49,4459,3967.291730308807018,982225.968792777974159,0.000085999997663,,,,
51,49,50,4460,3967.325586976652176,982242.733267652336508,0.000086000001610,,,,
52,49,51,4461,3967.359359219001817,982259.457891665631905,0.000085999997533,,,,
53,49,52,4462,3967.393446933257110,982276.337205560412258,0.000086000002465,,,,
54,49,53,4463,3967.427654511672245,982293.274212296586484,0.000086000007912,,,,
55,49,54,4464,3967.461684249764403,982310.126925078220665,0.000086000001444,,,,
56,49,55,4465,3967.495927270453649,982327.085545803653076,0.000085999999713,,,,
57,49,56,4466,3967.530383538575734,982344.142345500178635,0.000086000002042,,,,
58,49,57,4467,3967.564764174373067,982361.167592415236868,0.000085999997072,,,,
59,49,58,4468,3967.599362482453216,982378.301019096164964,0.000085999997037,,,,
60,49,59,4469,3967.634080719623398,982395.495774291455746,0.000085999997834,,,,
61,49,60,4470,3967.669007700467773,982412.790508476202376,0.000086000002847,,,,
62,49,61,4471,3967.703863610205190,982430.051932534435764,0.000086000000406,,,,
63,49,62,4472,3967.738830492673515,982447.370591382030398,0.000085999998440,,,,
64,49,63,4473,3967.774019545979627,982464.795637986506335,0.000086000001249,,,,
65,49,64,4474,3967.809221806893220,982482.227463634335436,0.000086000000113,,,,
66,49,65,4475,3967.844548567027232,982499.722976426477544,0.000086000000015,,,,
67,49,66,4476,3967.880088465393783,982517.320577422389761,0.000086000004315,,,,
68,49,67,4477,3967.915446134726153,982534.831794163910672,0.000085999996515,,,,
69,49,68,4478,3967.950923788082491,982552.404548902413808,0.000085999989564,,,,
70,49,69,4479,3967.986916745468989,982570.227298115030862,0.000085999999956,,,,
71,49,70,4480,3968.022732077675755,982587.965860198019072,0.000085999998440,,,,
72,49,71,4481,3968.058760484950653,982605.806488739675842,0.000086000001319,Dapeng District,0.000033490795100,38.942784402862699,1
73,49,72,4482,3968.094806605417489,982623.663763255579397,0.000086000001115,Dapeng District,0.000086000000700,99.999999517786748,1
74,49,73,4483,3968.130972735790692,982641.574885858804919,0.000086000001084,Dapeng District,0.000086000000000,99.999998739293801,1
75,49,74,4484,3968.167161262760601,982659.493409653427079,0.000085999997162,Dapeng District,0.000085999994300,99.999996672112388,1
76,49,75,4485,3968.203465175504789,982677.475238169776276,0.000085999994240,Dapeng District,0.000085999995000,100.000000883084866,1
77,49,76,4486,3968.239986770229734,982695.565106648835354,0.000085999996234,Dapeng District,0.000085999995000,99.999998565260526,1
78,49,77,4487,3968.276726051126388,982713.763015814358369,0.000086000003142,Dapeng District,0.000086000000000,99.999996346139014,1
79,49,78,4488,3968.313380740032699,982731.917236986337230,0.000086000001687,Dapeng District,0.000086000000700,99.999998852453970,1
80,49,79,4489,3968.350155493479633,982750.129284968134016,0.000086000000751,Dapeng District,0.000086000004300,100.000004126524857,1
81,49,80,4490,3968.387050324751272,982768.406884446972981,0.000086000001011,Dapeng District,0.000085999995700,99.999993824433687,1
82,49,81,4491,3968.424060492039644,982786.735935875913128,0.000086000001232,Dapeng District,0.000086000000000,99.999998567222818,1
83,49,82,4492,3968.461083638595028,982805.071667922777124,0.000085999997496,Dapeng District,0.000085999999300,100.000002097326202,1
84,49,83,4493,3968.498236412071037,982823.473746239789762,0.000085999995025,Dapeng District,0.000023438850075,27.254478407575199,1
85,49,84,4494,3968.535597308786237,982841.979320396669209,0.000085999997068,,,,
86,49,85,4495,3968.573083117168608,982860.548806753009558,0.000086000000161,,,,
