District,GDP,"Household Registration Population (10,000 persons)","Men (10,000 persons)","Women (10,000 persons)",Sex Ratio (?=100),Total_Employed_Workers,Land Area (km),"Year-end Permanent Population (10,000 persons)",Population Density (persons/km)
Total,194926012,,,,,,1997.27,1190.84,5962
Futian,35572870,98.97,49.4,49.57,99.65,977584,78.66,150.17,19091
Luohu,19724939,61.19,30.54,30.65,99.61,394900,78.75,100.4,12749
Yantian,5375327,7.2,3.62,3.58,101.11,65854,74.91,22.65,3024
Nanshan,38452711,85.79,45.55,40.24,113.21,699211,187.47,135.63,7235
Original_Bao'an,55873822,,,,,,,,
Bao'an,30038215,50.94,26.07,24.87,104.76,822354,396.61,301.71,7607
Longhua,18569841,25.49,13.22,12.27,107.63,436602,175.58,154.94,8824
Guangming,7265766,6.55,3.32,3.23,102.43,196412,155.44,56.08,3608
Original_Longgang,39926343,,,,,,,,
Longgang,31790883,59.05,30.13,28.92,104.12,641461,388.22,214.38,5522
Pingshan,5060882,5.6,2.87,2.73,105.04,143669,166.31,40.79,2453
Dapeng,3074578,3.97,2.13,1.84,115.02,47430,295.32,14.09,477
